Test No.,Section,Test Description,Expected Result,Actual Result,Pass/Fail,Comments
I-66e,I Interlocks and permissives,"Remove valve open permissive - start blocked, correct reason","Blocked, correct reason",Correct,Pass,
I-66f,I Interlocks and permissives,"Open Q11 - feeder unavailable, start blocked",Blocked,Correct,Pass,
I-66g,I Interlocks and permissives,Press E-stop - start blocked,Blocked,Correct,Pass,
I-66h,I Interlocks and permissives,Inject wet well level below setpoint - start blocked,Blocked,Correct,Pass,
I-67,I Interlocks and permissives,HARDWIRED dry-run trip operates with PLC in PROGRAM-STOP mode,Drive trips,Drive trips,Pass,CRITICAL TEST - the entire point of hardwiring it
I-68,I Interlocks and permissives,Seal water start bypass timer operates then enforces permissive,Correct,Correct,Pass,
I-69,I Interlocks and permissives,HVAC-fail interlock ramps drives to minimum speed and alarms,Correct,Correct,Pass,TQ-005 outcome
J-70,J Protection verification,Protection settings recorded against coordination study,Settings applied and verified,COORDINATION STUDY NOT AVAILABLE,N/A - DEVIATION,"FD-005 - recorded as deviation, NOT as pass. SAT hold point"
J-71,J Protection verification,MPCB thermal settings verified against confirmed motor FLC,Correct,Correct,Pass,
J-72,J Protection verification,Drive motor thermal parameters verified against motor nameplate,Correct,Correct,Pass,90 kW nameplate data per CR-001
J-73,J Protection verification,"Operate trip mechanism on each protective device, verify indication to PLC",All correct,All correct,Pass,
J-74,J Protection verification,"Phase failure relay operates on simulated phase loss, alarm raised",Operates,Operates,Pass,
J-75,J Protection verification,SPD status contact reports correctly,Correct,Correct,Pass,
J-76,J Protection verification,"CT shorting links present, CT secondary warning label fitted, meter reads correctly",All correct,All correct,Pass,
K-77,K PLC I/O simulation,"Every digital input - operate field device, verify bit at PLC and tag at SCADA, description matches I/O list",All 40 correct,All 40 correct after FD-004 correction,Pass,
K-78,K PLC I/O simulation,"Every digital output - force output, verify relay, field terminal and SCADA status",All 14 correct,All 14 correct,Pass,
K-79,K PLC I/O simulation,"Every analogue input - inject 4, 8, 12, 16, 20 mA, verify EU at PLC and SCADA",All 6 correct at 5 points,All correct,Pass,30 individual readings recorded
K-80,K PLC I/O simulation,"Every analogue output - command 0, 25, 50, 75, 100%, measure current at field terminal",Both correct,Both correct,Pass,
K-81,K PLC I/O simulation,"Verify live-zero detection on each analogue input - open loop, fault detected and alarmed",All detect,All detect,Pass,
K-82,K PLC I/O simulation,"Verify every spare I/O point terminated, labelled and available",All available,All available,Pass,"8 DI, 18 DO, 10 AI, 2 AO spare"
K-83,K PLC I/O simulation,"Fail-safe check - disconnect critical DI field wire, signal reads FAULT not healthy",Reads fault,Reads fault,Pass,
L-84,L Alarm testing,"Every alarm generated at source, verified at PLC and SCADA with correct description, priority and time stamp",All correct,2 further description errors found,FAIL then Pass,"FD-004 - full section re-run after correction, all correct"
L-85,L Alarm testing,Common alarm beacon and sounder operate,Operate,Operate,Pass,
L-86,L Alarm testing,Alarm acknowledge and reset behaviour,Correct,Correct,Pass,
L-87,L Alarm testing,Latched alarms remain latched until acknowledged,Correct,Correct,Pass,
L-88,L Alarm testing,Alarms that must survive a power interruption do so,Correct,Correct,Pass,
M-89a,M Emergency stop,"E-stop MCC door - both drives to STO, DOL contactors drop, alarm at SCADA",All operate,All operate,Pass,
M-89b,M Emergency stop,"E-stop LCS-101 - both drives to STO, contactors drop, alarm",All operate,All operate,Pass,
M-89c,M Emergency stop,"E-stop LCS-102 - both drives to STO, contactors drop, alarm",All operate,All operate,Pass,
M-89d,M Emergency stop,"E-stop pump hall - both drives to STO, contactors drop, alarm",All operate,All operate,Pass,
M-90,M Emergency stop,Plant cannot restart while E-stop latched,Cannot restart,Cannot restart,Pass,
M-91,M Emergency stop,Reset requires E-stop released AND reset button pressed and released,Correct,Correct,Pass,
M-92,M Emergency stop,Reset does NOT occur on press (monitored reset acts on release),No reset on press,No reset on press,Pass,
M-93a,M Emergency stop,"SINGLE-CHANNEL FAULT - open channel A only, relay detects discrepancy, safe state, will not reset","Detected, will not reset","Detected, will not reset",Pass,The test that actually proves dual channel
M-93b,M Emergency stop,"SINGLE-CHANNEL FAULT - open channel B only, relay detects discrepancy","Detected, will not reset","Detected, will not reset",Pass,
M-94,M Emergency stop,Safety relay auxiliary status reaches PLC and SCADA,Correct,Correct,Pass,
M-95,M Emergency stop,E-stop function with PLC in PROGRAM-STOP - safety function independent of PLC,Operates,Operates,Pass,
N-96,N Local / remote,Mode logic recorded per feeder,All recorded,All recorded,Pass,
N-97,N Local / remote,ALL permissives and trips remain active in Local mode,All active,All active,Pass,Design decision verified - Local does not bypass protection
O-98,O VSD operation,Motor simulation method per agreed arrangement,Per agreed method,"Test motor, no load",Pass,Method agreed with client in advance
O-99,O VSD operation,"Drive parameters verified against parameter schedule, full set backed up",Verified and backed up,Verified and backed up,Pass,Backup files to MDR Section 5.3
O-100,O VSD operation,"Run command, start, ramp, stop, ramp-down",Correct,Correct,Pass,
O-101,O VSD operation,Speed reference tracking at 0 / 25 / 50 / 75 / 100 %,Within tolerance,Within tolerance,Pass,"Test motor, no load - does NOT prove performance under load"
O-102,O VSD operation,Minimum and maximum speed clamps,Correct,Correct,Pass,
O-103,O VSD operation,Acceleration and deceleration ramp times,Per parameter schedule,Correct,Pass,
O-104,O VSD operation,"STO operation from safety relay, both channels",Correct,Correct,Pass,STO terminals re-verified after CR-001 drive change
O-105,O VSD operation,"Drive fault, healthy and running signals via hardwired AND network routes",Both routes correct,Both correct,Pass,
O-106,O VSD operation,Live-zero response on loss of speed reference,Holds last speed and alarms,Correct,Pass,"Configured response, not default"
O-107,O VSD operation,Motor thermal parameters and external thermistor trip input,Correct,Correct,Pass,Retested after FD-001 rectification
P-108,P Network,Every network device reachable at assigned IP address,All reachable,All reachable,Pass,
P-109,P Network,Address schedule matches issued IP schedule,Matches,Matches,Pass,
P-110,P Network,Fibre links - light levels within specification,Within spec,Within spec,Pass,
P-111,P Network,"Switch configuration - VLANs, port settings, management access",Correct,Correct,Pass,
P-112,P Network,"Drive data over EtherNet/IP - status, speed, current, fault codes",All correct,All correct,Pass,
P-113,P Network,Power meter data,Correct,Correct,Pass,
P-114,P Network,Remote I/O node communication and every RIO point,All correct,All correct,Pass,12 RIO points verified
P-115,P Network,"NETWORK FAILURE - disconnect network, hardwired control still functions, comms-fail alarm raised","Control retained, alarm raised","Control retained, alarm raised",Pass,Validates the hardwired control design decision
Q-116,Q Labels,"Every label checked against label schedule, character for character",All match,3 discrepancies,FAIL,FD-006
Q-117,Q Labels,Asset / rating nameplate content per AS/NZS 61439 marking requirements,Correct,Correct,Pass,
Q-118,Q Labels,Terminal markers checked against termination schedule,All correct,2 markers transposed on X3,FAIL,FD-006b
Q-119,Q Labels,Warning labels present and correct,All present,Multiple-supplies label missing,FAIL,FD-006c
Q-120,Q Labels,Arc flash label holder present (content client scope),Holder present,Holder present,Pass,
R-121,R Drawing mark-ups,"Every discrepancy marked on drawings in red AS FOUND, not reconstructed",All marked as found,All marked as found,Pass,
R-122,R Drawing mark-ups,Marked-up drawings signed and dated by the person who marked them,Signed and dated,Signed and dated,Pass,
R-123,R Drawing mark-ups,Marked-up set retained as basis for as-built drawings,Retained,Retained,Pass,
S-124,S Punch list,"Every defect recorded with category, owner, action and due date",All recorded,All recorded,Pass,8 items
S-125,S Punch list,Categories agreed with client BEFORE FAT started,Agreed,Agreed,Pass,
S-126,S Punch list,Punch list signed by both parties at close of FAT,Signed,Signed,Pass,
S-127,S Punch list,Retest requirements identified and agreed at the time of each defect,Agreed at the time,Agreed at the time,Pass,
