Point,Type,Module,Slot,Channel,Tag,Description,Signal,Fail-Safe,Terminal,Cable,Drawing Ref
DI-44,DI,5069-IB16,4,12,-,Spare digital input,24 VDC,-,X3:112,-,SCH-0202
DI-45,DI,5069-IB16,4,13,-,Spare digital input,24 VDC,-,X3:113,-,SCH-0202
DI-46,DI,5069-IB16,4,14,-,Spare digital input,24 VDC,-,X3:114,-,SCH-0202
DI-47,DI,5069-IB16,4,15,-,Spare digital input,24 VDC,-,X3:115,-,SCH-0202
DO-00,DO,5069-OB16,5,0,KA101,P-101 Run command to VSD-101 via interposing relay,24 VDC,-,X3:019,-,SCH-0202
DO-01,DO,5069-OB16,5,1,VSD-101,P-101 Fault reset to drive,24 VDC,-,X3:023,-,SCH-0202
DO-02,DO,5069-OB16,5,2,KA102,P-102 Run command to VSD-102 via interposing relay,24 VDC,-,X3:049,-,SCH-0202
DO-03,DO,5069-OB16,5,3,VSD-102,P-102 Fault reset to drive,24 VDC,-,X3:053,-,SCH-0202
DO-04,DO,5069-OB16,5,4,KM103,P-103 sump pump start,24 VDC,-,X3:067,-,SCH-0202
DO-05,DO,5069-OB16,5,5,KM101C,C-101 compressor start,24 VDC,-,X3:074,-,SCH-0202
DO-06,DO,5069-OB16,5,6,MOV-101,MOV-101 open command,24 VDC,-,X3:085,C-0142,SCH-0202
DO-07,DO,5069-OB16,5,7,MOV-101,MOV-101 close command,24 VDC,-,X3:086,C-0142,SCH-0202
DO-08,DO,5069-OB16,5,8,MOV-101,MOV-101 stop command,24 VDC,-,X3:087,C-0142,SCH-0202
DO-09,DO,5069-OB16,5,9,HA-01,Common alarm beacon,24 VDC,-,X3:121,-,SCH-0202
DO-10,DO,5069-OB16,5,10,HA-02,Common alarm sounder,24 VDC,-,X3:122,-,SCH-0202
DO-11,DO,5069-OB16,5,11,SCADA,Station healthy watchdog to SCADA,24 VDC,-,X3:123,-,SCH-0202
DO-12,DO,5069-OB16,5,12,VSD-101,P-101 drive remote reference enable,24 VDC,-,X3:024,-,SCH-0202
DO-13,DO,5069-OB16,5,13,VSD-102,P-102 drive remote reference enable,24 VDC,-,X3:054,-,SCH-0202
DO-14,DO,5069-OB16,5,14,-,Spare digital output,24 VDC,-,X3:130,-,SCH-0202
DO-15,DO,5069-OB16,5,15,-,Spare digital output,24 VDC,-,X3:131,-,SCH-0202
DO-16,DO,5069-OB16,6,0,-,Spare digital output,24 VDC,-,X3:132,-,SCH-0202
DO-17,DO,5069-OB16,6,1,-,Spare digital output,24 VDC,-,X3:133,-,SCH-0202
DO-18,DO,5069-OB16,6,2,-,Spare digital output,24 VDC,-,X3:134,-,SCH-0202
DO-19,DO,5069-OB16,6,3,-,Spare digital output,24 VDC,-,X3:135,-,SCH-0202
DO-20,DO,5069-OB16,6,4,-,Spare digital output,24 VDC,-,X3:136,-,SCH-0202
DO-21,DO,5069-OB16,6,5,-,Spare digital output,24 VDC,-,X3:137,-,SCH-0202
DO-22,DO,5069-OB16,6,6,-,Spare digital output,24 VDC,-,X3:138,-,SCH-0202
DO-23,DO,5069-OB16,6,7,-,Spare digital output,24 VDC,-,X3:139,-,SCH-0202
DO-24,DO,5069-OB16,6,8,-,Spare digital output,24 VDC,-,X3:140,-,SCH-0202
DO-25,DO,5069-OB16,6,9,-,Spare digital output,24 VDC,-,X3:141,-,SCH-0202
DO-26,DO,5069-OB16,6,10,-,Spare digital output,24 VDC,-,X3:142,-,SCH-0202
DO-27,DO,5069-OB16,6,11,-,Spare digital output,24 VDC,-,X3:143,-,SCH-0202
DO-28,DO,5069-OB16,6,12,-,Spare digital output,24 VDC,-,X3:144,-,SCH-0202
DO-29,DO,5069-OB16,6,13,-,Spare digital output,24 VDC,-,X3:145,-,SCH-0202
DO-30,DO,5069-OB16,6,14,-,Spare digital output,24 VDC,-,X3:146,-,SCH-0202
DO-31,DO,5069-OB16,6,15,-,Spare digital output,24 VDC,-,X3:147,-,SCH-0202
AI-00,AI,5069-IF8,7,0,LIT-101,Wet well level (0-10 m),4-20 mA,Live zero,X4:001/002,C-0201,SCH-0203
AI-01,AI,5069-IF8,7,1,FIT-101,Discharge flow (0-200 L/s),4-20 mA,Live zero,X4:003/004,C-0202,SCH-0203
AI-02,AI,5069-IF8,7,2,PIT-101,P-101 discharge pressure (0-1000 kPa),4-20 mA,Live zero,X4:005/006,C-0203,SCH-0203
AI-03,AI,5069-IF8,7,3,PIT-102,P-102 discharge pressure (0-1000 kPa),4-20 mA,Live zero,X4:007/008,C-0204,SCH-0203
AI-04,AI,5069-IF8,7,4,PIT-103,Common suction pressure (0-600 kPa),4-20 mA,Live zero,X4:009/010,C-0205,SCH-0203
AI-05,AI,5069-IF8,7,5,AIT-101,Raw water turbidity (0-100 NTU),4-20 mA,Live zero,X4:011/012,C-0206,SCH-0203
AI-06,AI,5069-IF8,7,6,-,Spare analogue input,4-20 mA,Live zero,X4:013,-,SCH-0203
AI-07,AI,5069-IF8,7,7,-,Spare analogue input,4-20 mA,Live zero,X4:015,-,SCH-0203
AI-08,AI,5069-IF8,8,0,-,Spare analogue input,4-20 mA,Live zero,X4:017,-,SCH-0203
AI-09,AI,5069-IF8,8,1,-,Spare analogue input,4-20 mA,Live zero,X4:019,-,SCH-0203
AI-10,AI,5069-IF8,8,2,-,Spare analogue input,4-20 mA,Live zero,X4:021,-,SCH-0203
AI-11,AI,5069-IF8,8,3,-,Spare analogue input,4-20 mA,Live zero,X4:023,-,SCH-0203
AI-12,AI,5069-IF8,8,4,-,Spare analogue input,4-20 mA,Live zero,X4:025,-,SCH-0203
AI-13,AI,5069-IF8,8,5,-,Spare analogue input,4-20 mA,Live zero,X4:027,-,SCH-0203
AI-14,AI,5069-IF8,8,6,-,Spare analogue input,4-20 mA,Live zero,X4:029,-,SCH-0203
AI-15,AI,5069-IF8,8,7,-,Spare analogue input,4-20 mA,Live zero,X4:031,-,SCH-0203
AO-00,AO,5069-OF4,9,0,VSD-101,P-101 speed reference,4-20 mA,Live zero,X4:031/032,-,SCH-0204
AO-01,AO,5069-OF4,9,1,VSD-102,P-102 speed reference,4-20 mA,Live zero,X4:033/034,-,SCH-0204
AO-02,AO,5069-OF4,9,2,-,Spare analogue output,4-20 mA,Live zero,X4:035,-,SCH-0204
AO-03,AO,5069-OF4,9,3,-,Spare analogue output,4-20 mA,Live zero,X4:037,-,SCH-0204
RDI-00,DI (RIO),5069-IB16,RIO-01,0,LDSH-102,Intake screen differential level high,24 VDC,NO,RX3:001,-,RIO-0201
RDI-01,DI (RIO),5069-IB16,RIO-01,1,SCR-101,Screen drive running,24 VDC,NO,RX3:002,-,RIO-0201
RDI-02,DI (RIO),5069-IB16,RIO-01,2,SCR-101,Screen drive fault,24 VDC,NC,RX3:003,-,RIO-0201
RDI-03,DI (RIO),5069-IB16,RIO-01,3,SCR-101,Screen drive available,24 VDC,NC,RX3:004,-,RIO-0201
RDI-04,DI (RIO),5069-IB16,RIO-01,4,S-SCR-LOR,Screen selector Local,24 VDC,NO,RX3:005,-,RIO-0201
RDI-05,DI (RIO),5069-IB16,RIO-01,5,S-SCR-LOR,Screen selector Remote,24 VDC,NO,RX3:006,-,RIO-0201
RDI-06,DI (RIO),5069-IB16,RIO-01,6,ZSO-102,Penstock open limit,24 VDC,NO,RX3:007,-,RIO-0201
RDI-07,DI (RIO),5069-IB16,RIO-01,7,ZSC-102,Penstock closed limit,24 VDC,NO,RX3:008,-,RIO-0201
RDI-08,DI (RIO),5069-IB16,RIO-01,8,RIO-01,Kiosk door open,24 VDC,NO,RX3:009,-,RIO-0201
RDI-09,DI (RIO),5069-IB16,RIO-01,9,PSU-R1,Kiosk 24 VDC PSU healthy,24 VDC,NC,RX3:010,-,RIO-0201
RDI-10,DI (RIO),5069-IB16,RIO-01,10,-,Spare digital input,24 VDC,-,RX3:011,-,RIO-0201
RDI-11,DI (RIO),5069-IB16,RIO-01,11,-,Spare digital input,24 VDC,-,RX3:012,-,RIO-0201
RDI-12,DI (RIO),5069-IB16,RIO-01,12,-,Spare digital input,24 VDC,-,RX3:013,-,RIO-0201
RDI-13,DI (RIO),5069-IB16,RIO-01,13,-,Spare digital input,24 VDC,-,RX3:014,-,RIO-0201
RDI-14,DI (RIO),5069-IB16,RIO-01,14,-,Spare digital input,24 VDC,-,RX3:015,-,RIO-0201
RDI-15,DI (RIO),5069-IB16,RIO-01,15,-,Spare digital input,24 VDC,-,RX3:016,-,RIO-0201
RAI-00,AI (RIO),5069-IF8,RIO-01,0,LIT-102,Screen upstream level (0-4 m),4-20 mA,Live zero,RX4:001/002,-,RIO-0203
RAI-01,AI (RIO),5069-IF8,RIO-01,1,LIT-103,Screen downstream level (0-4 m),4-20 mA,Live zero,RX4:003/004,-,RIO-0203
RAI-02,AI (RIO),5069-IF8,RIO-01,2,-,Spare analogue input,4-20 mA,Live zero,RX4:005/006,-,RIO-0203
RAI-03,AI (RIO),5069-IF8,RIO-01,3,-,Spare analogue input,4-20 mA,Live zero,RX4:007/008,-,RIO-0203
RAI-04,AI (RIO),5069-IF8,RIO-01,4,-,Spare analogue input,4-20 mA,Live zero,RX4:009/010,-,RIO-0203
RAI-05,AI (RIO),5069-IF8,RIO-01,5,-,Spare analogue input,4-20 mA,Live zero,RX4:011/012,-,RIO-0203
RAI-06,AI (RIO),5069-IF8,RIO-01,6,-,Spare analogue input,4-20 mA,Live zero,RX4:013/014,-,RIO-0203
RAI-07,AI (RIO),5069-IF8,RIO-01,7,-,Spare analogue input,4-20 mA,Live zero,RX4:015/016,-,RIO-0203
