Cable No.,From,To,Core,Terminal,Signal,Voltage,Drawing Reference
C-0114,B102-SEAL,MCC-01 X3,2,X3:046,Seal water flow switch - return (NC),24 V DC,SCH-0201/15
C-0114,B102-SEAL,MCC-01 X3,Screen,XS:07,Screen - MCC END ONLY,-,SCH-0201
-,VSD-102 / MCC internal,MCC-01 X3,-,X3:047,"VSD-102 drive healthy to PLC DI (NC, fail-safe)",24 V DC,SCH-0201/09
-,VSD-102 / MCC internal,MCC-01 X3,-,X3:048,VSD-102 drive running to PLC DI,24 V DC,SCH-0201/10
-,VSD-102 / MCC internal,MCC-01 X3,-,X3:049,KA102 run command to VSD-102 term 18,24 V DC,SCH-0111/18
-,VSD-102 / MCC internal,MCC-01 X3,-,X3:050,Q12 auxiliary - feeder available to PLC DI,24 V DC,SCH-0201/08
-,VSD-102 / MCC internal,MCC-01 X3,-,X3:053,PLC DO - VSD-102 fault reset,24 V DC,SCH-0202/04
-,VSD-102 / MCC internal,MCC-01 X3,-,X3:054,PLC DO - VSD-102 remote reference enable,24 V DC,SCH-0202/14
-,-,-,-,X3:055,SPARE,-,-
-,-,-,-,X3:056,SPARE,-,-
-,-,-,-,X3:057,SPARE,-,-
-,-,-,-,X3:058,SPARE,-,-
-,-,-,-,X3:059,SPARE,-,-
-,-,-,-,X3:060,SPARE,-,-
-,MCC internal,MCC-01 X3,-,X3:061,Q15 MPCB auxiliary - P-103 feeder available,24 V DC,SCH-0201/16
-,MCC internal,MCC-01 X3,-,X3:062,KM103 auxiliary - P-103 running,24 V DC,SCH-0201/17
-,MCC internal,MCC-01 X3,-,X3:063,S103-LOR Local position,24 V DC,SCH-0201/18
-,MCC internal,MCC-01 X3,-,X3:064,S103-LOR Remote position,24 V DC,SCH-0201/19
-,MCC internal,MCC-01 X3,-,X3:067,PLC DO - KM103 start command,24 V DC,SCH-0202/05
C-0122,Sump floats,MCC-01 X3,1,X3:065,LSH-103 sump high level float - start,24 V DC,SCH-0201/20
C-0122,Sump floats,MCC-01 X3,2,X3:065r,LSH-103 return,24 V DC,SCH-0201/20
C-0122,Sump floats,MCC-01 X3,3,X3:066,LSL-103 sump low level float - stop (NC),24 V DC,SCH-0201/21
C-0122,Sump floats,MCC-01 X3,4,X3:066r,LSL-103 return,24 V DC,SCH-0201/21
C-0122,Sump floats,MCC-01 X3,Screen,XS:08,Screen - MCC END ONLY,-,SCH-0201
-,MCC internal,MCC-01 X3,-,X3:071,Q16 MPCB auxiliary - C-101 feeder available,24 V DC,SCH-0201/22
-,MCC internal,MCC-01 X3,-,X3:072,KM101C auxiliary - C-101 running,24 V DC,SCH-0201/23
-,MCC internal,MCC-01 X3,-,X3:074,PLC DO - KM101C start command,24 V DC,SCH-0202/06
C-0132,PSL-101,MCC-01 X3,1,X3:073,Instrument air pressure low switch,24 V DC,SCH-0201/24
C-0132,PSL-101,MCC-01 X3,2,X3:073r,Return,24 V DC,SCH-0201/24
C-0132,PSL-101,MCC-01 X3,Screen,XS:09,Screen - MCC END ONLY,-,SCH-0201
C-0142,MOV-101 actuator,MCC-01 X3,1,X3:081,ZSO-101 valve opened limit,24 V DC,SCH-0201/25
C-0142,MOV-101 actuator,MCC-01 X3,2,X3:082,ZSC-101 valve closed limit,24 V DC,SCH-0201/26
C-0142,MOV-101 actuator,MCC-01 X3,3,X3:083,"Actuator fault (NC, vendor contact)",24 V DC,SCH-0201/27
C-0142,MOV-101 actuator,MCC-01 X3,4,X3:084,Actuator remote selected (vendor contact),24 V DC,SCH-0201/28
C-0142,MOV-101 actuator,MCC-01 X3,5,X3:085,PLC DO - open command,24 V DC,SCH-0202/07
C-0142,MOV-101 actuator,MCC-01 X3,6,X3:086,PLC DO - close command,24 V DC,SCH-0202/08
C-0142,MOV-101 actuator,MCC-01 X3,7,X3:087,PLC DO - stop command,24 V DC,SCH-0202/09
C-0142,MOV-101 actuator,MCC-01 X3,8,X3:088,Common return,24 V DC,SCH-0141
C-0142,MOV-101 actuator,MCC-01 X3,9-12,X3:089-090,SPARE (4 cores),-,-
C-0142,MOV-101 actuator,MCC-01 X3,Screen,XS:10,Overall screen - MCC END ONLY,-,SCH-0141
C-0503,HVAC-01,MCC-01 X3,C1,X3:091,HVAC fault (NC) - drives ramp to min speed,24 V DC,SCH-0201/29
C-0503,HVAC-01,MCC-01 X3,C2,X3:091r,Return,24 V DC,SCH-0201/29
-,-,-,-,X3:092,SPARE,-,-
-,-,-,-,X3:093,SPARE,-,-
-,MCC internal,MCC-01 X3,-,X3:101,KS-01 safety relay auxiliary - E-stop circuit healthy,24 V DC,SCH-0202/01
-,MCC internal,MCC-01 X3,-,X3:102,Q1 OF auxiliary - incomer closed,24 V DC,SCH-0202/02
-,MCC internal,MCC-01 X3,-,X3:103,Q1 SD auxiliary - incomer tripped,24 V DC,SCH-0202/03
-,MCC internal,MCC-01 X3,-,X3:104,KVP-01 phase failure relay healthy (NC),24 V DC,SCH-0202/04
-,MCC internal,MCC-01 X3,-,X3:105,SPD-01 surge diverter status (NC),24 V DC,SCH-0202/05
-,MCC internal,MCC-01 X3,-,X3:106,PSU-1 healthy (NC),24 V DC,SCH-0202/06
-,MCC internal,MCC-01 X3,-,X3:107,PSU-2 healthy (NC),24 V DC,SCH-0202/07
-,MCC internal,MCC-01 X3,-,X3:108,UPS-01 on battery,24 V DC,SCH-0202/08
-,MCC internal,MCC-01 X3,-,X3:109,UPS-01 fault,24 V DC,SCH-0202/09
-,MCC internal,MCC-01 X3,-,X3:110,ECP group trip common (NC),24 V DC,SCH-0202/10
-,MCC internal,MCC-01 X3,-,X3:121,PLC DO - common alarm beacon,24 V DC,SCH-0202/10
-,MCC internal,MCC-01 X3,-,X3:122,PLC DO - common alarm sounder,24 V DC,SCH-0202/11
-,MCC internal,MCC-01 X3,-,X3:123,PLC DO - station healthy watchdog to SCADA,24 V DC,SCH-0202/12
C-0211,LSHH-101,MCC-01 X3,1,X3:111,Wet well high-high float (NC),24 V DC,SCH-0202/11
C-0211,LSHH-101,MCC-01 X3,2,X3:111r,Return,24 V DC,SCH-0202/11
C-0211,LSHH-101,MCC-01 X3,Screen,XS:11,Screen - MCC END ONLY,-,SCH-0202
-,-,-,-,X3:112,SPARE,-,-
-,-,-,-,X3:113,SPARE,-,-
-,-,-,-,X3:114,SPARE,-,-
-,-,-,-,X3:115,SPARE,-,-
C-0201,LIT-101 wet well level,MCC-01 X4,+,X4:001,LIT-101 wet well level 4-20 mA loop + (DISCONNECT TERMINAL),24 V DC loop,SCH-0203/01
C-0201,LIT-101 wet well level,MCC-01 X4,-,X4:002,LIT-101 wet well level 4-20 mA loop -,24 V DC loop,SCH-0203/01
C-0201,LIT-101 wet well level,MCC-01 X4,Screen,XS:20,Screen - MCC END ONLY,-,SCH-0203/01
C-0202,FIT-101 discharge flow,MCC-01 X4,+,X4:003,FIT-101 discharge flow 4-20 mA loop + (DISCONNECT TERMINAL),24 V DC loop,SCH-0203/02
C-0202,FIT-101 discharge flow,MCC-01 X4,-,X4:004,FIT-101 discharge flow 4-20 mA loop -,24 V DC loop,SCH-0203/02
C-0202,FIT-101 discharge flow,MCC-01 X4,Screen,XS:21,Screen - MCC END ONLY,-,SCH-0203/02
C-0203,PIT-101 P-101 discharge pressure,MCC-01 X4,+,X4:005,PIT-101 P-101 discharge pressure 4-20 mA loop + (DISCONNECT TERMINAL),24 V DC loop,SCH-0203/03
C-0203,PIT-101 P-101 discharge pressure,MCC-01 X4,-,X4:006,PIT-101 P-101 discharge pressure 4-20 mA loop -,24 V DC loop,SCH-0203/03
C-0203,PIT-101 P-101 discharge pressure,MCC-01 X4,Screen,XS:22,Screen - MCC END ONLY,-,SCH-0203/03
C-0204,PIT-102 P-102 discharge pressure,MCC-01 X4,+,X4:007,PIT-102 P-102 discharge pressure 4-20 mA loop + (DISCONNECT TERMINAL),24 V DC loop,SCH-0203/04
C-0204,PIT-102 P-102 discharge pressure,MCC-01 X4,-,X4:008,PIT-102 P-102 discharge pressure 4-20 mA loop -,24 V DC loop,SCH-0203/04
C-0204,PIT-102 P-102 discharge pressure,MCC-01 X4,Screen,XS:23,Screen - MCC END ONLY,-,SCH-0203/04
C-0205,PIT-103 common suction pressure,MCC-01 X4,+,X4:009,PIT-103 common suction pressure 4-20 mA loop + (DISCONNECT TERMINAL),24 V DC loop,SCH-0203/05
C-0205,PIT-103 common suction pressure,MCC-01 X4,-,X4:010,PIT-103 common suction pressure 4-20 mA loop -,24 V DC loop,SCH-0203/05
C-0205,PIT-103 common suction pressure,MCC-01 X4,Screen,XS:24,Screen - MCC END ONLY,-,SCH-0203/05
C-0206,AIT-101 raw water turbidity,MCC-01 X4,+,X4:011,AIT-101 raw water turbidity 4-20 mA loop + (DISCONNECT TERMINAL),24 V DC loop,SCH-0203/06
C-0206,AIT-101 raw water turbidity,MCC-01 X4,-,X4:012,AIT-101 raw water turbidity 4-20 mA loop -,24 V DC loop,SCH-0203/06
C-0206,AIT-101 raw water turbidity,MCC-01 X4,Screen,XS:25,Screen - MCC END ONLY,-,SCH-0203/06
-,-,-,-,X4:013,SPARE - disconnect type,-,-
-,-,-,-,X4:014,SPARE - disconnect type,-,-
-,-,-,-,X4:015,SPARE - disconnect type,-,-
-,-,-,-,X4:016,SPARE - disconnect type,-,-
-,-,-,-,X4:017,SPARE - disconnect type,-,-
-,-,-,-,X4:018,SPARE - disconnect type,-,-
-,-,-,-,X4:019,SPARE - disconnect type,-,-
-,-,-,-,X4:020,SPARE - disconnect type,-,-
-,-,-,-,X4:021,SPARE - disconnect type,-,-
-,-,-,-,X4:022,SPARE - disconnect type,-,-
-,-,-,-,X4:023,SPARE - disconnect type,-,-
-,-,-,-,X4:024,SPARE - disconnect type,-,-
-,-,-,-,X4:025,SPARE - disconnect type,-,-
-,-,-,-,X4:026,SPARE - disconnect type,-,-
-,-,-,-,X4:027,SPARE - disconnect type,-,-
-,-,-,-,X4:028,SPARE - disconnect type,-,-
-,-,-,-,X4:029,SPARE - disconnect type,-,-
-,-,-,-,X4:030,SPARE - disconnect type,-,-
-,PLC AO ch.0,VSD-101 term 53/55,-,X4:031,P-101 speed reference 4-20 mA + (DISCONNECT),-,SCH-0204/01
-,PLC AO ch.0,VSD-101 term 53/55,-,X4:032,P-101 speed reference 4-20 mA -,-,SCH-0204/01
-,PLC AO ch.1,VSD-102 term 53/55,-,X4:033,P-102 speed reference 4-20 mA + (DISCONNECT),-,SCH-0204/02
-,PLC AO ch.1,VSD-102 term 53/55,-,X4:034,P-102 speed reference 4-20 mA -,-,SCH-0204/02
-,-,-,-,X4:035,SPARE - disconnect type,-,-
-,-,-,-,X4:036,SPARE - disconnect type,-,-
-,-,-,-,X4:037,SPARE - disconnect type,-,-
-,-,-,-,X4:038,SPARE - disconnect type,-,-
-,S-ES-MCC (MCC door),MCC-01 X5,-,X5:001,"E-stop MCC door, channel A in (YELLOW)",24 V DC,SCH-0040/02
-,S-ES-MCC (MCC door),MCC-01 X5,-,X5:002,"E-stop MCC door, channel A out (YELLOW)",24 V DC,SCH-0040/02
-,S-ES-MCC (MCC door),MCC-01 X5,-,X5:003,"E-stop MCC door, channel B in (YELLOW)",24 V DC,SCH-0040/02
-,S-ES-MCC (MCC door),MCC-01 X5,-,X5:004,"E-stop MCC door, channel B out (YELLOW)",24 V DC,SCH-0040/02
C-0105,LCS-101 E-stop,MCC-01 X5,1,X5:005,"E-stop 101, channel A in (YELLOW)",24 V DC,SCH-0040/03
C-0105,LCS-101 E-stop,MCC-01 X5,2,X5:006,"E-stop 101, channel A out (YELLOW)",24 V DC,SCH-0040/03
C-0105,LCS-101 E-stop,MCC-01 X5,3,X5:007,"E-stop 101, channel B in (YELLOW)",24 V DC,SCH-0040/04
C-0105,LCS-101 E-stop,MCC-01 X5,4,X5:008,"E-stop 101, channel B out (YELLOW)",24 V DC,SCH-0040/04
C-0105,LCS-101 E-stop,MCC-01 X5,Screen,XS:30,Screen - MCC END ONLY,-,SCH-0040
C-0115,LCS-102 E-stop,MCC-01 X5,1,X5:009,"E-stop 102, channel A in (YELLOW)",24 V DC,SCH-0040/05
C-0115,LCS-102 E-stop,MCC-01 X5,2,X5:010,"E-stop 102, channel A out (YELLOW)",24 V DC,SCH-0040/05
C-0115,LCS-102 E-stop,MCC-01 X5,3,X5:011,"E-stop 102, channel B in (YELLOW)",24 V DC,SCH-0040/06
C-0115,LCS-102 E-stop,MCC-01 X5,4,X5:012,"E-stop 102, channel B out (YELLOW)",24 V DC,SCH-0040/06
C-0115,LCS-102 E-stop,MCC-01 X5,Screen,XS:31,Screen - MCC END ONLY,-,SCH-0040
C-0301,S-ES-PH pump hall E-stop,MCC-01 X5,1,X5:013,"E-stop pump hall, channel A in (YELLOW)",24 V DC,SCH-0040/07
C-0301,S-ES-PH pump hall E-stop,MCC-01 X5,2,X5:014,"E-stop pump hall, channel A out (YELLOW)",24 V DC,SCH-0040/07
C-0301,S-ES-PH pump hall E-stop,MCC-01 X5,3,X5:015,"E-stop pump hall, channel B in (YELLOW)",24 V DC,SCH-0040/08
C-0301,S-ES-PH pump hall E-stop,MCC-01 X5,4,X5:016,"E-stop pump hall, channel B out (YELLOW)",24 V DC,SCH-0040/08
C-0301,S-ES-PH pump hall E-stop,MCC-01 X5,Screen,XS:32,Screen - MCC END ONLY,-,SCH-0040
-,KS-01 safety relay,VSD STO,-,X5:017,KS-01 output 13/14 to VSD-101 STO ch.1 (term 37),24 V DC,SCH-0040/12
-,KS-01 safety relay,VSD STO,-,X5:018,KS-01 output 23/24 to VSD-101 STO ch.2 (term 38),24 V DC,SCH-0040/12
-,KS-01 safety relay,VSD STO,-,X5:019,KS-01 output 13/14 to VSD-102 STO ch.1 (term 37),24 V DC,SCH-0040/13
-,KS-01 safety relay,VSD STO,-,X5:020,KS-01 output 23/24 to VSD-102 STO ch.2 (term 38),24 V DC,SCH-0040/13
-,-,-,-,X5:021,"SPARE (YELLOW) - reserved for future E-stop, loop in series",-,SCH-0040 note 3
-,-,-,-,X5:022,"SPARE (YELLOW) - reserved for future E-stop, loop in series",-,SCH-0040 note 3
-,-,-,-,X5:023,"SPARE (YELLOW) - reserved for future E-stop, loop in series",-,SCH-0040 note 3
-,-,-,-,X5:024,"SPARE (YELLOW) - reserved for future E-stop, loop in series",-,SCH-0040 note 3
C-0401,MCC-01 X6,Control room patch panel,Fibre 1,X6-LIU:01,OM3 multimode Tx to control room,-,SCH-0301/01
C-0401,MCC-01 X6,Control room patch panel,Fibre 2,X6-LIU:02,OM3 multimode Rx from control room,-,SCH-0301/01
C-0402,MCC-01 X6,RIO-01 intake kiosk,Fibre 1,X6-LIU:03,OM3 multimode Tx to RIO-01,-,SCH-0301/02
C-0402,MCC-01 X6,RIO-01 intake kiosk,Fibre 2,X6-LIU:04,OM3 multimode Rx from RIO-01,-,SCH-0301/02
-,SW-01 managed switch,MCC internal,-,X6-RJ:01,PLC 5069-L306ER port A1,-,SCH-0301/03
-,SW-01 managed switch,MCC internal,-,X6-RJ:02,VSD-101 EtherNet/IP,-,SCH-0301/04
-,SW-01 managed switch,MCC internal,-,X6-RJ:03,VSD-102 EtherNet/IP,-,SCH-0301/05
-,SW-01 managed switch,MCC internal,-,X6-RJ:04,PM-01 power meter,-,SCH-0301/06
-,SW-01 managed switch,MCC internal,-,X6-RJ:05,Service / laptop port (bulkhead),-,SCH-0301/07
-,SW-01 managed switch,MCC internal,-,X6-RJ:06,SPARE,-,-
